story_id	epic	filename	title
CLI-001	cli-interface	CLI-001-summary-mode.yaml	Summary mode (default)
CLI-002	cli-interface	CLI-002-timeline-mode.yaml	Timeline mode (-t/--timeline)
CLI-003	cli-interface	CLI-003-git-mode.yaml	Git operations mode (-g/--git)
CLI-004	cli-interface	CLI-004-files-mode.yaml	File changes mode (-f/--files)
CLI-005	cli-interface	CLI-005-created-mode.yaml	Created files mode (-c/--created)
CLI-006	cli-interface	CLI-006-implicit-timeline.yaml	Implicit timeline mode activation
CLI-007	cli-interface	CLI-007-multi-index.yaml	Support multiple index selection
CRH-001	context	CRH-001-flag-creation.yaml	Create flag file when compaction occurs
CRH-002	context	CRH-002-flag-detection.yaml	Detect compaction flag on tool use
CRH-004	context	CRH-004-multi-instance-safety.yaml	Handle multiple Claude instances safely
CRH-005	context	CRH-005-xs-operations.yaml	xs operations used by recovery prompt
CRH-006	context	CRH-006-recovery-methodology.yaml	Deep context recovery methodology
CRH-007	context	CRH-007-test-findings.yaml	Apply lessons from real-world recovery test
DSP-001	display-modes	DSP-001-compact-mode.yaml	Compact display mode (one line per event)
DSP-002	display-modes	DSP-002-truncated-mode.yaml	Truncated display mode (console-like)
DSP-003	display-modes	DSP-003-full-mode.yaml	Full display mode (no truncation)
DSP-004	display-modes	DSP-004-sequence-numbers.yaml	Sequence number display control
DSP-005	display-modes	DSP-005-discontinuous-separator.yaml	Show separator between non-contiguous sections
EXP-001	export	EXP-001-json-stdout.yaml	JSON array output to stdout
EXP-002	export	EXP-002-jsonl-stdout.yaml	JSONL output to stdout
EXP-003	export	EXP-003-export-to-file.yaml	Export range to JSON file
GFH-001	fetch	GFH-001-workflow-listing.yaml	List workflow runs from GitHub Actions
GFH-002	fetch	GFH-002-log-fetching.yaml	Fetch logs for specific workflow run
GFH-003	fetch	GFH-003-jsonl-extraction.yaml	Extract JSONL content from Claude execution logs
GFH-004	fetch	GFH-004-metadata-extraction.yaml	Extract issue or PR number from log XML
